?character	?state	?description
<http://purl.org/phenoscape/uuid/0f6358b4-f360-4ee1-9900-9fdbc8f88464>	<http://purl.org/phenoscape/uuid/df671d77-d049-4cdf-89d5-868b5cbb8cea>	Neural arch of the first ural centrum: present
<http://purl.org/phenoscape/uuid/e02f7755-a55f-4148-a8f2-6c05d4f342eb>	<http://purl.org/phenoscape/uuid/e287aab1-1a8f-40df-9d5d-9dce42e4cc60>	Fin base articulation on scapulocoracoid: stenobasal
<http://purl.org/phenoscape/uuid/62368865-476b-4234-b262-6ae25867f0aa>	<http://purl.org/phenoscape/uuid/e495b47a-aa67-4328-9ea9-53dda9944e4f>	Basal scutes on fins: present
<http://purl.org/phenoscape/uuid/c3055ce2-8505-4852-92c1-a07e0c67bdbf>	<http://purl.org/phenoscape/uuid/e5ba0aa5-c54b-4d93-9109-687421813645>	neural arch PU3: present
<http://purl.org/phenoscape/uuid/686d349e-a412-4cea-b91e-724cf63f4990>	<http://purl.org/phenoscape/uuid/e9459125-808d-48c1-b77b-d98a85853e76>	neural arch PU2: present
<http://purl.org/phenoscape/uuid/9080a4ba-4fb9-41a4-b5bc-163288072c05>	<http://purl.org/phenoscape/uuid/eb0f22c1-a87b-4250-9dcc-5410e40af9ef>	Pelvic fin webs joined in ventral midline (Forey et al. 1996: eels lack pelvics): Pelvic fin webs joined in ventral midline
<http://purl.org/phenoscape/uuid/5b49f470-7a93-4720-a22f-0e1f9569b634>	<http://purl.org/phenoscape/uuid/f2e03656-bf5e-4378-85e0-eed3ad1ddf2b>	Pectoral-fin base oriented: horizontally (BALDWIN & JOHNSON 1996; character 98)
<http://purl.org/phenoscape/uuid/3f0400ef-da84-43a0-a89d-63bdf8cfd6cc>	<http://purl.org/phenoscape/uuid/f93d191b-a5b8-480a-815f-f9857a55eb4d>	Canal of lateral line on caudal-fin membrane: (1) present
<http://purl.org/phenoscape/uuid/0c0104c5-7802-484b-a878-4c5d880d52bd>	<http://purl.org/phenoscape/uuid/fcafceaf-68ab-4a9d-a64a-00aebe4849e9>	Form of neural and haemal spines of two posterior free preural centra in males: expanded into transversely flattened plates
<http://purl.org/phenoscape/uuid/bfd9395a-473f-4fb5-bf57-4427d6dcd6c6>	<http://purl.org/phenoscape/uuid/fd344cb2-6212-4b32-a621-268d14d2c145>	Series of dorsal intermuscular bones throughout caudal region: absent
<http://purl.org/phenoscape/uuid/0589bd7a-866e-40b2-b0cb-f8ed9b464088>	<http://purl.org/phenoscape/uuid/0ce970fb-9175-45ea-b834-feab94d362c8>	Neural arch U1: present
<http://purl.org/phenoscape/uuid/012f137c-0267-427f-a01a-cb137135272a>	<http://purl.org/phenoscape/uuid/13f5c8db-f914-498f-914f-13538176e7d6>	Scales at the base of the median fin spines: enlarged scales present
<http://purl.org/phenoscape/uuid/219e6b30-8834-4f00-a8d4-e800531a13c0>	<http://purl.org/phenoscape/uuid/13f73fde-0075-478f-9b53-5d62061293a3>	Haemal spine of preural centrum 2 fused to centrum, and parhypural and hypural 1 fused to compound terminal centrum (Fink & Fink 1996:240-241): Haemal spine of preural centrum 2 fused to centrum, and parhypural and hypural 1 fused to compound terminal centrum
<http://purl.org/phenoscape/uuid/763eadb4-f0b3-4e1f-9c5d-8ce2b7bc4fec>	<http://purl.org/phenoscape/uuid/14c7e0b6-dffc-45ea-b6db-927fa3582e59>	Neural arch PU3: present
<http://purl.org/phenoscape/uuid/50353342-4531-4036-98bf-c2c65687c211>	<http://purl.org/phenoscape/uuid/1620b496-3392-463f-90a3-4486614ed3bf>	Dorsal fin, shape of (LUND 2000, char. 59; POPLIN & LUND 2000, char. 37): short rounded
<http://purl.org/phenoscape/uuid/adec543e-edd1-4fde-aa78-52e3e4616a5e>	<http://purl.org/phenoscape/uuid/17037c5b-5707-46a9-a666-9453b76e810d>	hemal spine PU3: present
<http://purl.org/phenoscape/uuid/dcd53204-fc81-4098-b850-9f8a65a45813>	<http://purl.org/phenoscape/uuid/1d96b26c-c171-44ee-bd8b-7f503c924be0>	Shape of caudal fin: rounded
<http://purl.org/phenoscape/uuid/d0f499c8-f69c-4162-bf38-fc8e82e6b80c>	<http://purl.org/phenoscape/uuid/1da594e2-224b-4b07-a19c-b2767da24e31>	Neural arch of uralcentra 1 and 2 or the \"first\" ural centrum: absent
<http://purl.org/phenoscape/uuid/ab3acebb-bc43-420b-a8ef-465b3fdb6fb1>	<http://purl.org/phenoscape/uuid/1eacacdd-f82b-4c13-ae1b-535cabd0f1d1>	Tentacules on pectoral fins (ordered): small, partially detached from odontodes
<http://purl.org/phenoscape/uuid/982ec27f-9b63-4e25-88ad-c24e97db7b0f>	<http://purl.org/phenoscape/uuid/2206f711-2143-45c7-aef6-8b31786955aa>	Caudal fin: rounded lanceolate
<http://purl.org/phenoscape/uuid/1e4500a3-00fc-4b64-8e1d-3d9422b6eec0>	<http://purl.org/phenoscape/uuid/26392d2c-e8b8-480f-b158-5cc1edc0ef43>	Neural and haemal spines of preural centrum 2 and 3 expanded (Harpodon excepted): Neural and haemal spines of preural centrum 2 and 3 expanded
<http://purl.org/phenoscape/uuid/31586d7b-102e-4b51-b347-ce9110f08949>	<http://purl.org/phenoscape/uuid/26f59b27-8d4e-4f66-8860-5c6649501278>	NaU1: cartilage plate attached
<http://purl.org/phenoscape/uuid/4a71db9c-3a7b-4c45-a7cd-0cc1ce3fa753>	<http://purl.org/phenoscape/uuid/2834a80b-2630-479c-8100-31fbb7d279aa>	Dermal pelvic clasper ossifications: Absent
<http://purl.org/phenoscape/uuid/27051500-f865-4aa3-a62a-ca9d37296f82>	<http://purl.org/phenoscape/uuid/2c01adaf-bb84-4f13-87c3-4b510665fcc9>	Cartilage plate attached to the neural arch of ural centrum 1 (Patterson & Rosen 1977): Cartilage plate attached to the neural arch of ural centrum 1
<http://purl.org/phenoscape/uuid/5b300a63-1617-458f-a03a-330ca61e4352>	<http://purl.org/phenoscape/uuid/2c0711e0-aaa1-4184-85f9-5b8ce10c25fd>	Basal scutes on fins: absent
<http://purl.org/phenoscape/uuid/91573fdd-28e5-451d-ba7a-bcb98e52a53d>	<http://purl.org/phenoscape/uuid/350b32f9-f74c-4981-a797-08aa36c9eff3>	In distal cross section (Fig. 1c), the fin is slightly cambered, convex dorsally and concave ventrally.: 
<http://purl.org/phenoscape/uuid/1920d467-9eaa-4905-b19b-8112eb745ab8>	<http://purl.org/phenoscape/uuid/3d9253df-da0d-47bc-918d-9a06a6900c85>	Pelvic fin webs: joined in midline
<http://purl.org/phenoscape/uuid/701bb59e-89ec-4ecb-bb28-080454ca1f66>	<http://purl.org/phenoscape/uuid/40c977e6-8e25-4b9b-891c-74211ef4d789>	Expansion of the neural and haemal spines of the two posterior free preural centra into transversely flattened plates in the males: Expansion of the neural and haemal spines of the two posterior free preural centra into transversely flattened plates in the males
<http://purl.org/phenoscape/uuid/17dfeddf-9bd2-4905-91a6-75e70e21e360>	<http://purl.org/phenoscape/uuid/425a1806-09de-48f1-b337-1b9bcbd56b96>	(bii.) Paired fins: present
<http://purl.org/phenoscape/uuid/4c5dffa2-7355-4a83-b9cd-2a6755d125e7>	<http://purl.org/phenoscape/uuid/482f1e83-0c45-414d-88ed-b2513b65633d>	Pectoral fin base has large, hemispherical dermal component: Present
<http://purl.org/phenoscape/uuid/347e5a47-4cff-4ca3-881e-62d645e496cb>	<http://purl.org/phenoscape/uuid/4e6930b4-a844-4d4c-a4ba-890394a5afa3>	Neural arch over \"first \" ural centrum: complete
<http://purl.org/phenoscape/uuid/74e6d812-95b1-43ac-a663-1ebc42f692a1>	<http://purl.org/phenoscape/uuid/52b4c2f0-ee8f-43bd-97ca-33668b73a3e9>	Neural arch PU2: present
<http://purl.org/phenoscape/uuid/b92c61ba-4e5d-4310-9d5f-87b0691fa2de>	<http://purl.org/phenoscape/uuid/5d5f137a-2713-450a-9e0e-9e62f0e45cb6>	Nadadeira peitoral (cobertura de pele): a nadadeira peitoral de <i>Pseudopimelodus</i> aff. <i>zungaro</i> possui um tegumento espesso cobrindo o acúleo peitoral, tomando-o inconspícuo
<http://purl.org/phenoscape/uuid/652da0d0-9a93-43e6-8272-f8caf2d2a275>	<http://purl.org/phenoscape/uuid/fe7ab495-deb4-4727-a2d5-dd0f6a4efcf2>	Neural arch of ?first? ural centrum reduced or absent (first ural centrum is an ontogenetically fused U1 and U2 in polyural terminology): Neural arch of 'first' ural centrum reduced or absent
<http://purl.org/phenoscape/uuid/863e0ddd-fb99-47f9-bb5b-374d2778b48e>	<http://purl.org/phenoscape/uuid/56371e34-5df4-4ba6-9b8a-9ee1c2aa36bf>	Anal fin: short with rounded margin
<http://purl.org/phenoscape/uuid/916934df-7330-4468-9fac-8f8aacb1020f>	<http://purl.org/phenoscape/uuid/59985ffc-efe8-4f9d-ba6c-01a33772b277>	Lepidotrichia of fin webs: absent
<http://purl.org/phenoscape/uuid/17dfeddf-9bd2-4905-91a6-75e70e21e360>	<http://purl.org/phenoscape/uuid/66f4398d-bf16-46fa-986f-543e376a8af8>	(bii.) Paired fins: absent
<http://purl.org/phenoscape/uuid/947cd53f-bb4b-45f0-9b58-4c13085dd05d>	<http://purl.org/phenoscape/uuid/6a76285d-0d95-4fa5-bb3d-9fa6ba0b3d57>	Caudal fin: scarcely emarginate to rounded
<http://purl.org/phenoscape/uuid/42b3a607-575c-4a4d-8f90-6a7788125796>	<http://purl.org/phenoscape/uuid/75ee18d7-fb09-4d37-80af-ce079ffbe0c3>	Shape of caudal fin: rounded or truncate
<http://purl.org/phenoscape/uuid/ec340ae0-7203-47e2-9aac-d95b97173251>	<http://purl.org/phenoscape/uuid/76abedad-2639-4985-b2de-942d3d52e9ab>	pectoral fin base: multibasal, eurybasal
<http://purl.org/phenoscape/uuid/bc4ded08-a967-47d9-9fe5-8eede6bc25e5>	<http://purl.org/phenoscape/uuid/7bace144-80a3-4b40-8750-fd768eddf654>	Pectoral fins covered in macromeric dermal armor: present
<http://purl.org/phenoscape/uuid/768e3d47-1c91-4e66-b03d-393f75f6d067>	<http://purl.org/phenoscape/uuid/7e40ae5c-8bd2-4b92-80be-c4e1e6bcd60f>	Caudal fin shape: caudal fin rounded; longest rays extend from middle of caudal fin
<http://purl.org/phenoscape/uuid/85748884-3274-45f1-9ef4-2b35dd37280e>	<http://purl.org/phenoscape/uuid/84a87f31-af75-4d5f-bd68-a0c6d3202b2e>	no paired fins in adults and no pelvic girdle or scapulocoracoid: no paired fins in adults and no pelvic girdle or scapulocoracoid
<http://purl.org/phenoscape/uuid/f7974d21-ed77-4c18-8c06-c7084d6df083>	<http://purl.org/phenoscape/uuid/886152b4-479a-417e-ae9b-abc3584d27b0>	Fin base articulation on scapulocoracoid: stenobasal
<http://purl.org/phenoscape/uuid/3f0400ef-da84-43a0-a89d-63bdf8cfd6cc>	<http://purl.org/phenoscape/uuid/97472cb8-0b88-47e4-836f-de363ef790e4>	Canal of lateral line on caudal-fin membrane: (0) absent
<http://purl.org/phenoscape/uuid/ce3413bc-a30c-474b-bad8-b8b505c862f3>	<http://purl.org/phenoscape/uuid/a1393c93-5eab-4419-bd56-99b82f984005>	Haemal arch and preural centrum 2: fused
<http://purl.org/phenoscape/uuid/6667d105-c6b9-46e5-81cb-d5b0c59bb6d6>	<http://purl.org/phenoscape/uuid/a310740c-44b2-4e77-8a09-6d4b88e16573>	Parahypural: supports principle caudal rays
<http://purl.org/phenoscape/uuid/03e32fdb-920e-428f-b2db-8a1385317e64>	<http://purl.org/phenoscape/uuid/a610c09c-c029-4e1f-ab38-148ae7d093b5>	Color of caudal-fin lobes: (1) ventral lobe orange or reddish and dorsal lobe hyaline
<http://purl.org/phenoscape/uuid/a87fa5ea-918f-4a2d-94aa-e08b7b81fea0>	<http://purl.org/phenoscape/uuid/a66ba28d-ff26-4fd0-aa06-372f88798935>	Proximal tip of hypural 1: fused to proximal tip of parhypural + hypural 2 + compound centrum
<http://purl.org/phenoscape/uuid/7503a109-3287-4f8b-b505-a60e8d326a2e>	<http://purl.org/phenoscape/uuid/aaa557fe-9dec-4d8e-af76-0eb83ff80a87>	Form of dorsal most and ventral most rays of caudal fin: not highly elongate as in state 1
<http://purl.org/phenoscape/uuid/e1106c55-8c01-475c-806b-6fe3c3d33b20>	<http://purl.org/phenoscape/uuid/b14fb796-7550-4788-b072-68f9be5edd78>	Fin ray (anal): present
<http://purl.org/phenoscape/uuid/d4c40059-785a-42f3-9c52-244fd0116557>	<http://purl.org/phenoscape/uuid/b354f528-1307-416c-a712-0125fd55febc>	Hypural: present
<http://purl.org/phenoscape/uuid/a766a509-8699-4015-9575-bdd8772c8150>	<http://purl.org/phenoscape/uuid/b6d18e56-f846-47d9-971d-be668aecc0b7>	Dorsal-, anal-, and pectoral-fin rays: unbranched
<http://purl.org/phenoscape/uuid/6667d105-c6b9-46e5-81cb-d5b0c59bb6d6>	<http://purl.org/phenoscape/uuid/bc6d92e6-9d5e-4c87-9409-2caea3719514>	Parahypural: does not support principle caudal rays
<http://purl.org/phenoscape/uuid/31479c6f-71a1-4d5d-a8f7-3fbe0fdc4ca9>	<http://purl.org/phenoscape/uuid/bea04178-6aaf-43f4-ad95-6caa977d24ba>	Anal-fin ray: present
<http://purl.org/phenoscape/uuid/b5d72efd-6f5d-4a4d-97f0-0f3e060e847b>	<http://purl.org/phenoscape/uuid/c06d1072-9cb8-4b43-9b32-1d6c86750655>	Fusion of hypural 2: separate from fused preural centrum1 and ural centrum 2, but fused to hypural 1
<http://purl.org/phenoscape/uuid/cc125b3e-123a-4f0a-ba8d-5ff1d7ede3ad>	<http://purl.org/phenoscape/uuid/c0fa9228-e36d-4132-b62a-397b58df59c7>	Form of first proximal pterygiophores of anal fin: approximately straight
<http://purl.org/phenoscape/uuid/fd2692be-88ac-4575-98f9-4fb4684e8004>	<http://purl.org/phenoscape/uuid/c2a30bd9-f4fa-4a4a-842e-d796f2e0cfda>	Anal fin skeleton composition: composed of basal cartilage and radials
<http://purl.org/phenoscape/uuid/53989537-e4c7-44df-bfa9-2243eb8c40cc>	<http://purl.org/phenoscape/uuid/d2579afe-c117-43d9-95d9-fb55a331dad4>	First dorsal-fin rays: unbranched
<http://purl.org/phenoscape/uuid/1b8cf4da-3f35-45b0-a234-dea8af7fb618>	<http://purl.org/phenoscape/uuid/d4398843-e906-49ba-933d-5894e0dde05d>	Dorsal fin pterygiophores: all dorsal-fin rays are supported by cartilaginous pterygiophores, each of which comprises a large proximal-middle radial and a small spherical distal radial (the latter obscured by fin-ray bases in Fig. 5)
<http://purl.org/phenoscape/uuid/46c42ba9-a3c6-4bb2-b506-1525f2d95208>	<http://purl.org/phenoscape/uuid/da9c0354-f6d7-41e6-a73a-c8aea1a7a1d3>	Form of first proximal pterygiophores of anal fin: approximately straight
<http://purl.org/phenoscape/uuid/6ab4c1be-ee0c-4a70-919f-eb54a35e6b8c>	<http://purl.org/phenoscape/uuid/e2ddc8f6-e026-4210-8c91-23bba060b285>	Form of contact in males between hypural 3 with fused hypural 1 and 2: no contact
<http://purl.org/phenoscape/uuid/7c2d1e16-c352-4334-8e1b-9b892120fd48>	<http://purl.org/phenoscape/uuid/ec5c52c2-6fb3-4cd5-a4bb-80f274dfd70b>	F: Contact in the males of hypural 3 with the fused hypural 1 and 2, and the development posteriorly of interdigitations between those elements: F: Contact in the males of hypural 3 with the fused hypural 1 and 2, and the development posteriorly of interdigitations between those elements
<http://purl.org/phenoscape/uuid/4033df17-9899-4ad6-bc1b-4dd6b1225c84>	<http://purl.org/phenoscape/uuid/ed7bad86-b248-4b61-8a82-e8c2444db744>	Hypural 2 and ural centrum: fused
<http://purl.org/phenoscape/uuid/a87fa5ea-918f-4a2d-94aa-e08b7b81fea0>	<http://purl.org/phenoscape/uuid/f262b912-9a72-4062-bc37-95536b1f6f83>	Proximal tip of hypural 1: separate from surrounding hypural and parhypural elements, and autogenous with ural centrum 1 or compound centrum
<http://purl.org/phenoscape/uuid/54e2e047-7f7c-47d2-bebb-95ff6d61c3e7>	<http://purl.org/phenoscape/uuid/f600f45e-a2eb-4020-aadd-2f97989ee948>	Fusion of proximal tip of hypurals to preural centrum 1: no fusion
<http://purl.org/phenoscape/uuid/fd2692be-88ac-4575-98f9-4fb4684e8004>	<http://purl.org/phenoscape/uuid/f793e471-73c7-4035-b063-063eddfbe8ea>	Anal fin skeleton composition: composed of radials only
<http://purl.org/phenoscape/uuid/552267ed-61f0-4116-a04a-8e17bd92a71b>	<http://purl.org/phenoscape/uuid/f7f79986-2b62-4640-9732-9760834a596d>	Ossos urais (figuras 11 e 14): uroneural e o hipural 5 estão livres e os hipurais 4 e 3 estão fundidos, assim como os hipurais 1 e 2 com o parahipural
<http://purl.org/phenoscape/uuid/840db35a-013f-4c8a-abd7-ccbe31217581>	<http://purl.org/phenoscape/uuid/fa280b0d-cd63-41c8-af90-bb3813cf56e1>	Articulation of the anterior tip of hypural 1 and the parhypural: no articulation
<http://purl.org/phenoscape/uuid/94305a34-6422-4e93-894b-ba0bc5c34b98>	<http://purl.org/phenoscape/uuid/fba37943-3aea-4abf-873d-586b690cf1b3>	ural centrum 1: present
<http://purl.org/phenoscape/uuid/ce3413bc-a30c-474b-bad8-b8b505c862f3>	<http://purl.org/phenoscape/uuid/077d2bbd-0dc6-4cf5-8bb3-ae1cffa547ef>	Haemal arch and preural centrum 2: independent
<http://purl.org/phenoscape/uuid/2f14417d-eb65-4748-b9da-d78866391357>	<http://purl.org/phenoscape/uuid/08a362ea-2efe-466e-acd4-5a22496a7747>	Dorsal fin skeleton composed of: a triangular or rectangular basal cartilage and radials
<http://purl.org/phenoscape/uuid/51d4bcb5-24b8-4f2c-817b-81a221b00e40>	<http://purl.org/phenoscape/uuid/09471325-3aad-40c8-aeb8-113455c21e76>	anal-fin rays: present
<http://purl.org/phenoscape/uuid/18e6ed2c-0a23-473a-a1f4-2f7892f2b65e>	<http://purl.org/phenoscape/uuid/0990fe27-233e-42fb-b0e2-684f7fcebbf7>	Fusion of haemal arch to preural centrum 2: present
<http://purl.org/phenoscape/uuid/a85bce4f-20ca-4fc1-9d20-6f3605279b5c>	<http://purl.org/phenoscape/uuid/10c6d4d1-4b32-4183-a747-4ee4228b6e35>	Lateropterygium element: loricariids the lateropterygium is straight and slender
<http://purl.org/phenoscape/uuid/97831529-ca6d-45a7-b75f-bce42b83d3c8>	<http://purl.org/phenoscape/uuid/1d34334b-aa47-490e-8a7e-9eae1321f40c>	(F26.) Collagenous fin-rays: absent
<http://purl.org/phenoscape/uuid/95511af1-f20e-4c2f-80b6-d315843220b7>	<http://purl.org/phenoscape/uuid/26726a08-11c9-47d4-b9c8-4cedd6d1e290>	Anal-fin rays: Ray segmentes not fused
<http://purl.org/phenoscape/uuid/29b3caf7-2527-4b19-88f9-00053a147c19>	<http://purl.org/phenoscape/uuid/28498262-4228-466f-a3ad-cc539f120aa5>	Contact in males of hypural 3 and fused hypural 1 and 2 with development posteriorly of interdigitations between these elements: Contact in males of hypural 3 and fused hypural 1 and 2 with development posteriorly of interdigitations between these elements
<http://purl.org/phenoscape/uuid/edb55556-6d8f-4942-93c2-a25bd015b1b7>	<http://purl.org/phenoscape/uuid/2b82d1e0-e250-4f9f-87f9-6a300dd31d32>	Dorsal-, anal-, and pectoral-fin rays: unbranched
<http://purl.org/phenoscape/uuid/0a8704f0-d6de-400a-8c0c-4e57c3518df2>	<http://purl.org/phenoscape/uuid/2c167c5d-f727-448c-a528-5d147e07973e>	Caudal rod: caudal fin present with hypural plate and segmented rays
<http://purl.org/phenoscape/uuid/55e9675c-59bc-47ac-9dd7-383df77c1c42>	<http://purl.org/phenoscape/uuid/2fa0d3ac-8390-4961-8ba6-9ec76ce4ef33>	Adipose fin: adipose fin without rays
<http://purl.org/phenoscape/uuid/2f14417d-eb65-4748-b9da-d78866391357>	<http://purl.org/phenoscape/uuid/3d71f15d-f6ce-4308-b8ea-998033fd900d>	Dorsal fin skeleton composed of: an elongate basal with radials
<http://purl.org/phenoscape/uuid/315f9963-2025-4f8e-9f1f-4bc9e53aeabc>	<http://purl.org/phenoscape/uuid/3e23d736-61ef-48a6-948f-be9bedd18ec4>	Anal-fin ray: present
<http://purl.org/phenoscape/uuid/5db08906-d776-4acf-a1cb-8b4dcc340d72>	<http://purl.org/phenoscape/uuid/3e5c210a-8764-40ce-86e6-d29e4f32bbd6>	Fusion of hypural plates: no fusion of hypural plates
<http://purl.org/phenoscape/uuid/03d6eeaa-13f7-47bc-80b4-fad817400eef>	<http://purl.org/phenoscape/uuid/4027cf87-e98f-4774-b694-9947a71a2be0>	Uroneural: autogenous
<http://purl.org/phenoscape/uuid/3b7a8517-54f3-4c0e-ab19-ace692085ccd>	<http://purl.org/phenoscape/uuid/402f821f-763e-4a7f-b1ae-f807540508f5>	Hypurals 1+2+3+4 fused and fused to centrum (Tyler et al. 2003): Hypurals 1+2+3+4 fused and fused to centrum
<http://purl.org/phenoscape/uuid/44c58bde-91bd-4876-945d-42acddd90764>	<http://purl.org/phenoscape/uuid/404f06a9-bfc0-4406-a98b-928ece323a2c>	Hypural 1: hypural 1 fused to parhypural
<http://purl.org/phenoscape/uuid/47495931-0c2b-4a66-9f19-fd930cedf0d6>	<http://purl.org/phenoscape/uuid/4247d743-8d1a-479a-8680-5ad6047bc667>	Short, jointed lepidotrichial segments in other fins: yes
<http://purl.org/phenoscape/uuid/fce67391-b9a1-4f3f-a059-d9f7e5edd954>	<http://purl.org/phenoscape/uuid/42c745a7-ff51-4472-baed-65930baea52b>	Ural centrum 1: present
<http://purl.org/phenoscape/uuid/47b603b9-b02e-4af6-bf11-52d521abcbe3>	<http://purl.org/phenoscape/uuid/458f1bd0-44ed-4d61-b27d-d0ff1335b993>	Hypurals 1 and 2: independent
<http://purl.org/phenoscape/uuid/7f39a26e-93e6-4bdb-81fe-daf753cbd58a>	<http://purl.org/phenoscape/uuid/46bdb323-495d-4e45-9dd5-af7381ce1bf8>	Fusion of ural centra, preural centrum1, uroneural 1 and hypural 2: absent
<http://purl.org/phenoscape/uuid/8c0c727c-ce67-4802-8ab1-bcf9be6f40bd>	<http://purl.org/phenoscape/uuid/4763b659-d100-4afd-bc3b-561d090a3ecd>	Hypural diastema: present
<http://purl.org/phenoscape/uuid/a82c90cc-42c6-4ded-a8b8-4d6e27cac939>	<http://purl.org/phenoscape/uuid/4a57ab55-04d1-465d-bb9b-7c214011f0d2>	Anal fin skeleton composed of: the basal cartilage and radials
<http://purl.org/phenoscape/uuid/8a601331-0369-43c7-854d-4ba3c512a8fc>	<http://purl.org/phenoscape/uuid/4c3efc90-584a-477d-943e-c54aae59e969>	Each jointed segment is exposed in at least three aspects, with one face buried. The exposed faces consist of marked longitudinal ridges around a central core, so that they resemble mammalian caudal vertebrae (Fig. 3C,D3-5).: 
<http://purl.org/phenoscape/uuid/b449b1d9-a53d-4570-b487-bee0a03bbfd8>	<http://purl.org/phenoscape/uuid/4daf117d-eb49-4345-b52d-f23dc4708d81>	Fusion of hypurals 1 and 2, and 3 and 4, respectively: neither pair fused
